,Economy (GDP per Capita),Generosity,Country,Happiness Rank,Health (Life Expectancy),year,Happiness Score,Trust (Government Corruption),Freedom,Continent
74,1.0188544990000001,0.08993306,Belarus,75,0.75258857,2020,5.539899826,0.193607435,0.29075586800000003,Europe
15,1.324,0.188,Belgium,16,0.894,2018,6.9270000000000005,0.24,0.583,Europe
17,1.42539,0.2424,Belgium,18,0.8195899999999999,2016,6.928999999999999,0.26248,0.51354,Europe
17,1.3559999999999999,0.16,Belgium,18,0.986,2019,6.922999999999999,0.21,0.473,Europe
16,1.4637807607650801,0.23150333762168898,Belgium,17,0.8180918693542479,2017,6.89099979400635,0.251343131065369,0.5397707223892211,Europe
18,1.30782,0.2225,Belgium,19,0.8966700000000001,2015,6.937,0.2254,0.5845,Europe
19,1.2958427670000001,0.146966159,Belgium,20,0.964901149,2020,6.863500117999999,0.208724052,0.499805421,Europe
51,0.87616,0.23684000000000002,Belize,52,0.45569,2016,5.956,0.10770999999999999,0.51231,North America
49,0.907975316047668,0.24001564085483604,Belize,50,0.45019176602363603,2017,5.955999851226809,0.0965810716152191,0.5475093722343439,North America
48,0.807,0.183,Belize,49,0.474,2018,5.956,0.08900000000000001,0.593,North America
142,0.43108540773391707,0.207948461174965,Benin,143,0.20993021130561804,2017,3.65700006484985,0.0609290152788162,0.42596277594566295,Africa
152,0.39499,0.2018,Benin,153,0.21028000000000002,2016,3.484,0.06681000000000001,0.39747,Africa
154,0.28665,0.1826,Benin,155,0.3191,2015,3.34,0.0801,0.4845,Africa
135,0.37799999999999995,0.163,Benin,136,0.24,2018,4.141,0.067,0.44,Africa
85,0.366244704,0.196670428,Benin,86,0.328062952,2020,5.21600008,0.125931874,0.40583989,Africa
101,0.39299999999999996,0.175,Benin,102,0.397,2019,4.883,0.08199999999999999,0.349,Africa
96,0.7959999999999999,0.364,Bhutan,97,0.527,2018,5.082,0.171,0.541,Asia
78,0.77042,0.47998,Bhutan,79,0.57407,2015,5.252999999999999,0.15445,0.5320600000000001,Asia
94,0.813,0.37,Bhutan,95,0.604,2019,5.082,0.16699999999999998,0.457,Asia
96,0.885416388511658,0.474054545164108,Bhutan,97,0.495879292488098,2017,5.01100015640259,0.17338038980960802,0.5015376806259161,Asia
83,0.8527,0.48546000000000006,Bhutan,84,0.49759,2016,5.196000000000001,0.1616,0.46074,Asia
61,0.7509999999999999,0.141,Bolivia,62,0.508,2018,5.752000000000001,0.054000000000000006,0.606,South America
58,0.79422,0.21698,Bolivia,59,0.4697,2016,5.822,0.07746,0.50961,South America
57,0.833756566047668,0.22556072473526,Bolivia,58,0.47363024950027505,2017,5.82299995422363,0.0604777261614799,0.5587329268455511,South America
60,0.7759999999999999,0.13699999999999998,Bolivia,61,0.706,2019,5.779,0.064,0.511,South America
64,0.7309763429999999,0.13837507400000001,Bolivia,65,0.6624456639999999,2020,5.747499942999999,0.072942637,0.5744645,South America
50,0.68133,0.20536,Bolivia,51,0.5392,2015,5.89,0.08800000000000001,0.57414,South America
89,0.982409417629242,0.328867495059967,Bosnia and Herzegovina,90,0.705186307430267,2017,5.18200016021729,0.0,0.204403176903725,Europe
86,0.9338299999999999,0.29889,Bosnia and Herzegovina,87,0.7076600000000001,2016,5.162999999999999,0.0,0.09511,Europe
