,Health (Life Expectancy),year,Happiness Rank,Generosity,Freedom,Happiness Score,Trust (Government Corruption),Economy (GDP per Capita),Country,Continent
98,0.7120000000000001,2018,100,0.064,0.359,4.933,0.009000000000000001,1.054,Bulgaria,Europe
99,0.708217680454254,2017,105,0.113177694380283,0.2892317175865169,4.71400022506714,0.0110515309497714,1.1614590883255,Bulgaria,Europe
100,0.67806,2016,129,0.12793,0.21219,4.217,0.00615,1.11306,Bulgaria,Europe
101,0.815,2019,97,0.081,0.311,5.011,0.004,1.092,Bulgaria,Europe
102,0.38,2019,115,0.177,0.255,4.587,0.113,0.331,Burkina Faso,Africa
103,0.21297,2016,145,0.24353,0.3337,3.739,0.12533,0.31995,Burkina Faso,Africa
104,0.254,2018,121,0.175,0.312,4.424,0.128,0.314,Burkina Faso,Africa
105,0.27125,2015,152,0.21747,0.39493,3.587,0.12832000000000002,0.25812,Burkina Faso,Africa
106,0.21584425866603896,2017,134,0.250864684581757,0.32436785101890603,4.03200006484985,0.12032810598611805,0.3502277135849001,Burkina Faso,Africa
107,0.38,2019,145,0.17600000000000002,0.22,3.775,0.18,0.046,Burundi,Africa
108,0.151610791683197,2017,154,0.20443518459796894,0.0599007532000542,2.90499997138977,0.0841479450464249,0.091622568666935,Burundi,Africa
109,0.15747,2016,157,0.2029,0.0432,2.905,0.09419,0.06831,Burundi,Africa
110,0.22396,2015,157,0.19727,0.1185,2.905,0.10062,0.0153,Burundi,Africa
111,0.145,2018,156,0.149,0.065,2.905,0.076,0.091,Burundi,Africa
112,0.457,2018,120,0.256,0.696,4.433,0.065,0.5489999999999999,Cambodia,Asia
113,0.637,2019,109,0.232,0.609,4.7,0.062,0.574,Cambodia,Asia
114,0.42494,2016,140,0.40339,0.5885199999999999,3.907,0.08092,0.55604,Cambodia,Asia
115,0.61114,2015,145,0.40359,0.66246,3.819,0.07247,0.46038,Cambodia,Asia
116,0.429783403873444,2017,129,0.385922968387604,0.633375823497772,4.1680002212524405,0.0681059509515762,0.6017650961875921,Cambodia,Asia
117,0.12697999999999998,2016,114,0.2268,0.42736,4.513,0.06126,0.5249699999999999,Cameroon,Africa
118,0.23402,2015,133,0.20618000000000006,0.49309,4.252,0.05786,0.4225,Cameroon,Africa
119,0.132892116904259,2017,107,0.23629845678806305,0.430388748645782,4.69500017166138,0.0513066314160824,0.564305365085602,Cameroon,Africa
120,0.331,2019,96,0.187,0.381,5.044,0.037000000000000005,0.5489999999999999,Cameroon,Africa
121,0.182,2018,99,0.183,0.454,4.975,0.043,0.535,Cameroon,Africa
